round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
110,0.23765227496623992,0.916,0.75371474,0.4767932838201523,0.828,0.47922096,relu,sigmoid,75,0.35,110,normal,56,21,23,32,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.30169150352478025,0.8816,0.640969,0.3770174585580826,0.844,0.5435847,relu,sigmoid,40,0.35,115,normal,76,21,26,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.307745863199234,0.87546664,0.61948055,0.372329642534256,0.8496,0.5429733,relu,sigmoid,40,0.0,100,normal,64,27,29,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.30858001522223155,0.8736,0.6235953,0.3760526580810547,0.8488,0.5494668,relu,sigmoid,70,0.0,115,normal,48,27,32,20,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.30608141869306565,0.87546664,0.6105736,0.36350322580337524,0.8528,0.5570149,relu,sigmoid,45,0.0,115,normal,56,21,32,23,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.24819862601161002,0.8933333,0.6972394,0.4894010518789291,0.8096,0.5176416,relu,sigmoid,45,0.0,115,normal,72,15,32,26,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.38306880406538646,0.848,0.5064303,0.40859009480476377,0.8384,0.4595056,relu,sigmoid,85,0.35,105,normal,56,24,26,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.37228307501475016,0.8538667,0.50896573,0.40309754920005797,0.8472,0.46616977,relu,sigmoid,70,0.175,105,normal,60,21,29,32,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3379501873453458,0.86906666,0.60398877,0.38073605835437774,0.8424,0.5649913,relu,sigmoid,85,0.35,105,normal,52,24,29,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.26793275971213976,0.9005333,0.6977373,0.44416528248786924,0.8336,0.5287281,relu,sigmoid,85,0.175,105,normal,40,15,26,20,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
