round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,losses,lr,optimizer,use_bias
100,0.41751049101352694,0.8583999872207642,0.552023708820343,0.21172000861167908,0.9170667,0.78733855,relu,sigmoid,40,0.275,100,normal,70,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.4182724177837372,0.8464000225067139,0.5004655122756958,0.2218044925928116,0.9122667,0.75806344,relu,sigmoid,60,0.3125,120,normal,75,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.43370383250713346,0.8479999899864197,0.5095235705375671,0.21414844490587712,0.9149333,0.7767801,relu,sigmoid,55,0.3125,115,normal,80,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.4277215811610222,0.8543999791145325,0.5063614845275879,0.22215913127362727,0.91253334,0.76156265,relu,sigmoid,45,0.2375,100,normal,80,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.35209612905979154,0.8592000007629395,0.5206367373466492,0.30678039451440176,0.8824,0.6547426,relu,sigmoid,50,0.275,110,normal,60,10,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.4201107437610626,0.8399999737739563,0.5344706773757935,0.22520872485637664,0.91386664,0.76039493,relu,sigmoid,60,0.275,100,normal,70,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.41702274918556215,0.8464000225067139,0.5355410575866699,0.2346424957513809,0.9045333,0.7340892,relu,sigmoid,60,0.275,110,normal,80,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
120,0.43127148020267486,0.848800003528595,0.5064727663993835,0.23772435888648033,0.90026665,0.7134021,relu,sigmoid,45,0.35,120,normal,75,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.35455773293972015,0.8560000061988831,0.5307404398918152,0.2772647910118103,0.88746667,0.6685665,relu,sigmoid,60,0.3125,105,normal,70,10,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.3362823840379715,0.8568000197410583,0.5408980250358582,0.30835078430175783,0.8797333,0.6614825,relu,sigmoid,60,0.3125,105,normal,65,10,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.4192659587264061,0.843999981880188,0.5017913579940796,0.2321265943845113,0.9064,0.72728366,relu,sigmoid,55,0.275,110,normal,80,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.41618670135736463,0.8511999845504761,0.5204275250434875,0.20460429432988167,0.91973335,0.7769583,relu,sigmoid,55,0.3125,110,normal,75,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.4078365752696991,0.8496000170707703,0.5185741186141968,0.21758176824450493,0.9037333,0.72425586,relu,sigmoid,45,0.2375,110,normal,75,30,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.4403088685274124,0.8352000117301941,0.504996120929718,0.22520619069536527,0.904,0.72417295,relu,sigmoid,55,0.275,110,normal,70,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.4113820067048073,0.8471999764442444,0.5173953175544739,0.2344835110604763,0.9104,0.74540013,relu,sigmoid,55,0.2375,110,normal,70,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.3884939023256302,0.8551999926567078,0.5382169485092163,0.2310574584007263,0.9096,0.7395634,relu,sigmoid,40,0.275,105,normal,65,30,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.37710931158065797,0.8583999872207642,0.5513744354248047,0.252455265045166,0.89813334,0.7206843,relu,sigmoid,60,0.2375,110,normal,60,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
120,0.47029599714279174,0.8367999792098999,0.502967357635498,0.21823022770881653,0.9144,0.76307684,relu,sigmoid,60,0.35,120,normal,65,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
